indx,BRANCH_NAME,CUSTOMER_CLASS,year,Amount,Accounts,BRANCH_NAME_En,CBU
22,الدرب,GOVT,2024,55110.04,90,Ad Darb,JZBU
23,الدرب,RES,2024,2075654.60,24640,Ad Darb,JZBU
24,الدرب,TANKER,2024,923306.91,10,Ad Darb,JZBU
25,العارضة,COM,2024,62.30,2,AL Aridhah,JZBU
26,العارضة,GOVT,2024,132436.33,55,AL Aridhah,JZBU
27,العارضة,RES,2024,768612.24,9349,AL Aridhah,JZBU
28,العقيق,COM,2024,25980.72,21,Al Aqiq,BA
29,العقيق,GOVT,2024,470227.71,122,Al Aqiq,BA
30,العقيق,RES,2024,1319189.80,11582,Al Aqiq,BA
31,العقيق,TANKER,2024,16343.80,5,Al Aqiq,BA
32,العيدابي,COM,2024,36600.08,45,Al Edabi,JZBU
33,العيدابي,GOVT,2024,146816.77,86,Al Edabi,JZBU
34,العيدابي,RES,2024,930238.43,7694,Al Edabi,JZBU
35,العيدابي,TANKER,2024,534916.38,10,Al Edabi,JZBU
36,القرى,COM,2024,27862.06,169,Al Qara,BA
37,القرى,GOVT,2024,48009.06,111,Al Qara,BA
38,القرى,RES,2024,678528.73,15052,Al Qara,BA
39,القرى,TANKER,2024,209173.50,26,Al Qara,BA
40,المجاردة,RES,2024,226651.71,975,Almajardah,AS
41,المخواه وغامد الزناد,COM,2024,147982.78,94,Al Makhwah and Ghamid Al Zinad,BA
42,المخواه وغامد الزناد,GOVT,2024,178884.42,223,Al Makhwah and Ghamid Al Zinad,BA
43,المخواه وغامد الزناد,RES,2024,871805.53,9603,Al Makhwah and Ghamid Al Zinad,BA
44,المخواه وغامد الزناد,TANKER,2024,137730.90,5,Al Makhwah and Ghamid Al Zinad,BA
46,المندق و بني حسن,COM,2024,20594.52,90,Al Mandaq and Bani Hassan,BA
47,المندق و بني حسن,GOVT,2024,58253.25,151,Al Mandaq and Bani Hassan,BA
48,المندق و بني حسن,RES,2024,868585.38,21514,Al Mandaq and Bani Hassan,BA
49,المندق و بني حسن,TANKER,2024,202590.90,20,Al Mandaq and Bani Hassan,BA
50,النماص,COM,2024,70555.32,7,Alnamas,AS
51,النماص,RES,2024,162954.61,139,Alnamas,AS
52,الواديين,RES,2024,181.56,4,Alwadieen,AS
53,بدر الجنوب,RES,2024,49202.16,972,Badr Al Janub,NJ
54,بلجرشي,COM,2024,244267.07,516,Baljorashi,BA
55,بلجرشي,GOVT,2024,531833.14,306,Baljorashi,BA
56,بلجرشي,RES,2024,1555203.30,35691,Baljorashi,BA
57,بلجرشي,TANKER,2024,256450.00,10,Baljorashi,BA
58,بيش,COM,2024,35045.86,22,Baish,JZBU
59,بيش,GOVT,2024,333790.29,135,Baish,JZBU
60,بيش,RES,2024,1176199.64,9939,Baish,JZBU
61,بيش,TANKER,2024,134236.79,5,Baish,JZBU
62,بيشة,COM,2024,39435.44,102,Bishah,AS
63,بيشة,GOVT,2024,424591.90,111,Bishah,AS
64,بيشة,RES,2024,1958882.24,16100,Bishah,AS
65,بيشة,TANKER,2024,120929.20,5,Bishah,AS
66,تثليث,RES,2024,81446.54,7,TATHLEETH,AS
67,تنومة,RES,2024,36871.30,53,TANOOMAH,AS
68,ثار,GOVT,2024,7124.73,21,Thar,NJ
69,ثار,RES,2024,88688.74,590,Thar,NJ
70,ثار,TANKER,2024,34592.64,3,Thar,NJ
71,جازان - الرئيسي,COM,2024,2499860.92,774,Jazan - Main,JZBU
72,جازان - الرئيسي,GOVT,2024,5010070.65,702,Jazan - Main,JZBU
73,جازان - الرئيسي,RES,2024,11054117.34,44190,Jazan - Main,JZBU
74,جازان - الرئيسي,TANKER,2024,853417.92,10,Jazan - Main,JZBU
75,حبونا,COM,2024,7037.60,15,Hubuna,NJ
76,حبونا,GOVT,2024,7799.05,11,Hubuna,NJ
77,حبونا,RES,2024,700142.70,6912,Hubuna,NJ
78,حبونا,TANKER,2024,54168.33,2,Hubuna,NJ
79,خباش,COM,2024,927.88,17,Khubash,NJ
80,خباش,GOVT,2024,1515245.55,50,Khubash,NJ
81,خباش,RES,2024,95803.89,1338,Khubash,NJ
82,خميس مشيط,COM,2024,3335118.67,827,Khamis Mushait,AS
83,خميس مشيط,GOVT,2024,14404443.00,309,Khamis Mushait,AS
84,خميس مشيط,RES,2024,14435036.37,94962,Khamis Mushait,AS
85,خميس مشيط,TANKER,2024,1018653.00,3,Khamis Mushait,AS
86,رجال المع,RES,2024,26413.93,7,REJAL ALMA,AS
87,شروره,COM,2024,18448.09,155,Sharurah,NJ
88,شروره,GOVT,2024,108292.57,689,Sharurah,NJ
89,شروره,RES,2024,2313589.83,13199,Sharurah,NJ
90,شروره,TANKER,2024,429117.95,16,Sharurah,NJ
91,صامطة واحد المسارحة,COM,2024,100289.59,93,Samtah Ahad Al Masarihah,JZBU
92,صامطة واحد المسارحة,GOVT,2024,675811.94,286,Samtah Ahad Al Masarihah,JZBU
93,صامطة واحد المسارحة,RES,2024,4262130.89,37326,Samtah Ahad Al Masarihah,JZBU
94,صامطة واحد المسارحة,TANKER,2024,142738.56,5,Samtah Ahad Al Masarihah,JZBU
95,صبيا,COM,2024,128492.28,66,Sabya,JZBU
96,صبيا,GOVT,2024,71488.16,60,Sabya,JZBU
97,صبيا,RES,2024,2174148.32,13028,Sabya,JZBU
98,صبيا,TANKER,2024,140197.36,5,Sabya,JZBU
99,ضمد,COM,2024,9785.63,29,Damad,JZBU
100,ضمد,GOVT,2024,55456.13,68,Damad,JZBU
101,ضمد,RES,2024,1045491.93,13065,Damad,JZBU
102,ظهران الجنوب,COM,2024,34500.00,1,DHAHRAN ALJANOUB,AS
103,ظهران الجنوب,RES,2024,91000.71,10,DHAHRAN ALJANOUB,AS
104,فرسان,COM,2024,147660.47,121,Farasan,JZBU
105,فرسان,GOVT,2024,547151.21,120,Farasan,JZBU
106,فرسان,RES,2024,461455.57,6408,Farasan,JZBU
107,فرسان,TANKER,2024,169820.33,5,Farasan,JZBU
108,قلوه,COM,2024,16273.34,41,Qilwah,BA
109,قلوه,GOVT,2024,70545.59,214,Qilwah,BA
110,قلوه,RES,2024,345206.15,4999,Qilwah,BA
111,محايل,COM,2024,36851.52,15,Mahayel,AS
112,محايل,GOVT,2024,695.66,2,Mahayel,AS
113,محايل,RES,2024,251925.76,418,Mahayel,AS
114,محايل,TANKER,2024,91380.16,5,Mahayel,AS
115,مدينة سلطان,RES,2024,281869.76,295,Madinat Sultan,AS
116,نجران الفرع الرئيسي,COM,2024,388350.25,1330,Najran Main Branch,NJ
117,نجران الفرع الرئيسي,GOVT,2024,2748430.14,598,Najran Main Branch,NJ
118,نجران الفرع الرئيسي,RES,2024,7942163.58,87737,Najran Main Branch,NJ
119,نجران الفرع الرئيسي,TANKER,2024,1646543.92,7,Najran Main Branch,NJ
120,يدمه,RES,2024,12331.99,141,Yadamah,NJ
121,يدمه,TANKER,2024,85479.48,5,Yadamah,NJ
