indx,BRANCH_NAME,CUSTOMER_CLASS,year, Amount ,Accounts,BRANCH_NAME_En,CBU
117,نجران الفرع الرئيسي,TANKER,2023," 677,738 ",5,Najran Main Branch,NJ
118,يدمه,GOVT,2023, 398 ,31,Yadamah,NJ
119,يدمه,RES,2023," 17,921 ",227,Yadamah,NJ
120,يدمه,TANKER,2023," 596,560 ",9,Yadamah,NJ
0,أبها الفرع الرئيسي,COM,2024," 3,531,685 ",1184,Abhaa Main Branch,AS
1,أبها الفرع الرئيسي,GOVT,2024," 9,351,509 ",657,Abhaa Main Branch,AS
2,أبها الفرع الرئيسي,RES,2024," 14,977,785 ",95053,Abhaa Main Branch,AS
3,أبها الفرع الرئيسي,TANKER,2024," 57,595,790 ",314,Abhaa Main Branch,AS
4,أبو عريش,COM,2024," 100,291 ",334,Abu Arish,JZBU
5,أبو عريش,GOVT,2024," 414,951 ",133,Abu Arish,JZBU
6,أبو عريش,RES,2024," 2,496,898 ",24728,Abu Arish,JZBU
7,أبو عريش,TANKER,2024," 166,141 ",5,Abu Arish,JZBU
8,أحد رفيدة,COM,2024," 217,569 ",334,Ahad Rafidah,AS
9,أحد رفيدة,GOVT,2024," 419,814 ",128,Ahad Rafidah,AS
10,أحد رفيدة,RES,2024," 2,503,508 ",18050,Ahad Rafidah,AS
11,الباحة الفرع الرئيسي,COM,2024," 309,908 ",264,Bahaa Main Branch,BA
12,الباحة الفرع الرئيسي,GOVT,2024," 8,279,305 ",394,Bahaa Main Branch,BA
13,الباحة الفرع الرئيسي,RES,2024," 2,144,108 ",33752,Bahaa Main Branch,BA
14,الباحة الفرع الرئيسي,TANKER,2024," 1,020,061 ",35,Bahaa Main Branch,BA
15,البرك,COM,2024," 55,836 ",53,Al Barak,AS
16,البرك,GOVT,2024," 24,662 ",29,Al Barak,AS
17,البرك,RES,2024," 195,840 ",1895,Al Barak,AS
18,الحجره,COM,2024," 2,458 ",8,Al Hajra,BA
19,الحجره,GOVT,2024," 45,439 ",49,Al Hajra,BA
20,الحجره,RES,2024," 117,244 ",944,Al Hajra,BA
21,الدرب,COM,2024," 28,440 ",130,Ad Darb,JZBU
22,الدرب,GOVT,2024," 55,110 ",90,Ad Darb,JZBU
23,الدرب,RES,2024," 2,075,655 ",24640,Ad Darb,JZBU
24,الدرب,TANKER,2024," 923,307 ",10,Ad Darb,JZBU
25,العارضة,COM,2024, 62 ,2,AL Aridhah,JZBU
26,العارضة,GOVT,2024," 132,436 ",55,AL Aridhah,JZBU
27,العارضة,RES,2024," 768,612 ",9349,AL Aridhah,JZBU
28,العقيق,COM,2024," 25,981 ",21,Al Aqiq,BA
29,العقيق,GOVT,2024," 470,228 ",122,Al Aqiq,BA
30,العقيق,RES,2024," 1,319,190 ",11582,Al Aqiq,BA
31,العقيق,TANKER,2024," 16,344 ",5,Al Aqiq,BA
32,العيدابي,COM,2024," 36,600 ",45,Al Edabi,JZBU
33,العيدابي,GOVT,2024," 146,817 ",86,Al Edabi,JZBU
34,العيدابي,RES,2024," 930,238 ",7694,Al Edabi,JZBU
35,العيدابي,TANKER,2024," 534,916 ",10,Al Edabi,JZBU
36,القرى,COM,2024," 27,862 ",169,Al Qara,BA
37,القرى,GOVT,2024," 48,009 ",111,Al Qara,BA
38,القرى,RES,2024," 678,529 ",15052,Al Qara,BA
39,القرى,TANKER,2024," 209,174 ",26,Al Qara,BA
40,المجاردة,RES,2024," 226,652 ",975,Almajardah,AS
41,المخواه وغامد الزناد,COM,2024," 147,983 ",94,Al Makhwah and Ghamid Al Zinad,BA
42,المخواه وغامد الزناد,GOVT,2024," 178,884 ",223,Al Makhwah and Ghamid Al Zinad,BA
43,المخواه وغامد الزناد,RES,2024," 871,806 ",9603,Al Makhwah and Ghamid Al Zinad,BA
44,المخواه وغامد الزناد,TANKER,2024," 137,731 ",5,Al Makhwah and Ghamid Al Zinad,BA
46,المندق و بني حسن,COM,2024," 20,595 ",90,Al Mandaq and Bani Hassan,BA
47,المندق و بني حسن,GOVT,2024," 58,253 ",151,Al Mandaq and Bani Hassan,BA
48,المندق و بني حسن,RES,2024," 868,585 ",21514,Al Mandaq and Bani Hassan,BA
49,المندق و بني حسن,TANKER,2024," 202,591 ",20,Al Mandaq and Bani Hassan,BA
50,النماص,COM,2024," 70,555 ",7,Alnamas,AS
51,النماص,RES,2024," 162,955 ",139,Alnamas,AS
52,الواديين,RES,2024, 182 ,4,Alwadieen,AS
53,بدر الجنوب,RES,2024," 49,202 ",972,Badr Al Janub,NJ
54,بلجرشي,COM,2024," 244,267 ",516,Baljorashi,BA
55,بلجرشي,GOVT,2024," 531,833 ",306,Baljorashi,BA
56,بلجرشي,RES,2024," 1,555,203 ",35691,Baljorashi,BA
57,بلجرشي,TANKER,2024," 256,450 ",10,Baljorashi,BA
58,بيش,COM,2024," 35,046 ",22,Baish,JZBU
59,بيش,GOVT,2024," 333,790 ",135,Baish,JZBU
60,بيش,RES,2024," 1,176,200 ",9939,Baish,JZBU
61,بيش,TANKER,2024," 134,237 ",5,Baish,JZBU
62,بيشة,COM,2024," 39,435 ",102,Bishah,AS
63,بيشة,GOVT,2024," 424,592 ",111,Bishah,AS
64,بيشة,RES,2024," 1,958,882 ",16100,Bishah,AS
65,بيشة,TANKER,2024," 120,929 ",5,Bishah,AS
66,تثليث,RES,2024," 81,447 ",7,TATHLEETH,AS
67,تنومة,RES,2024," 36,871 ",53,TANOOMAH,AS
68,ثار,GOVT,2024," 7,125 ",21,Thar,NJ
69,ثار,RES,2024," 88,689 ",590,Thar,NJ
70,ثار,TANKER,2024," 34,593 ",3,Thar,NJ
71,جازان - الرئيسي,COM,2024," 2,499,861 ",774,Jazan - Main,JZBU
72,جازان - الرئيسي,GOVT,2024," 5,010,071 ",702,Jazan - Main,JZBU
73,جازان - الرئيسي,RES,2024," 11,054,117 ",44190,Jazan - Main,JZBU
74,جازان - الرئيسي,TANKER,2024," 853,418 ",10,Jazan - Main,JZBU
75,حبونا,COM,2024," 7,038 ",15,Hubuna,NJ
76,حبونا,GOVT,2024," 7,799 ",11,Hubuna,NJ
77,حبونا,RES,2024," 700,143 ",6912,Hubuna,NJ
78,حبونا,TANKER,2024," 54,168 ",2,Hubuna,NJ
79,خباش,COM,2024, 928 ,17,Khubash,NJ
80,خباش,GOVT,2024," 1,515,246 ",50,Khubash,NJ
81,خباش,RES,2024," 95,804 ",1338,Khubash,NJ
82,خميس مشيط,COM,2024," 3,335,119 ",827,Khamis Mushait,AS
83,خميس مشيط,GOVT,2024," 14,404,443 ",309,Khamis Mushait,AS
84,خميس مشيط,RES,2024," 14,435,036 ",94962,Khamis Mushait,AS
85,خميس مشيط,TANKER,2024," 1,018,653 ",3,Khamis Mushait,AS
86,رجال المع,RES,2024," 26,414 ",7,REJAL ALMA,AS
87,شروره,COM,2024," 18,448 ",155,Sharurah,NJ
88,شروره,GOVT,2024," 108,293 ",689,Sharurah,NJ
89,شروره,RES,2024," 2,313,590 ",13199,Sharurah,NJ
90,شروره,TANKER,2024," 429,118 ",16,Sharurah,NJ
91,صامطة واحد المسارحة,COM,2024," 100,290 ",93,Samtah Ahad Al Masarihah,JZBU
92,صامطة واحد المسارحة,GOVT,2024," 675,812 ",286,Samtah Ahad Al Masarihah,JZBU
93,صامطة واحد المسارحة,RES,2024," 4,262,131 ",37326,Samtah Ahad Al Masarihah,JZBU
94,صامطة واحد المسارحة,TANKER,2024," 142,739 ",5,Samtah Ahad Al Masarihah,JZBU
95,صبيا,COM,2024," 128,492 ",66,Sabya,JZBU
96,صبيا,GOVT,2024," 71,488 ",60,Sabya,JZBU
97,صبيا,RES,2024," 2,174,148 ",13028,Sabya,JZBU
98,صبيا,TANKER,2024," 140,197 ",5,Sabya,JZBU
99,ضمد,COM,2024," 9,786 ",29,Damad,JZBU
100,ضمد,GOVT,2024," 55,456 ",68,Damad,JZBU
101,ضمد,RES,2024," 1,045,492 ",13065,Damad,JZBU
102,ظهران الجنوب,COM,2024," 34,500 ",1,DHAHRAN ALJANOUB,AS
103,ظهران الجنوب,RES,2024," 91,001 ",10,DHAHRAN ALJANOUB,AS
104,فرسان,COM,2024," 147,660 ",121,Farasan,JZBU
105,فرسان,GOVT,2024," 547,151 ",120,Farasan,JZBU
106,فرسان,RES,2024," 461,456 ",6408,Farasan,JZBU
107,فرسان,TANKER,2024," 169,820 ",5,Farasan,JZBU
108,قلوه,COM,2024," 16,273 ",41,Qilwah,BA
109,قلوه,GOVT,2024," 70,546 ",214,Qilwah,BA
110,قلوه,RES,2024," 345,206 ",4999,Qilwah,BA
111,محايل,COM,2024," 36,852 ",15,Mahayel,AS
112,محايل,GOVT,2024, 696 ,2,Mahayel,AS
113,محايل,RES,2024," 251,926 ",418,Mahayel,AS
114,محايل,TANKER,2024," 91,380 ",5,Mahayel,AS
115,مدينة سلطان,RES,2024," 281,870 ",295,Madinat Sultan,AS
116,نجران الفرع الرئيسي,COM,2024," 388,350 ",1330,Najran Main Branch,NJ
117,نجران الفرع الرئيسي,GOVT,2024," 2,748,430 ",598,Najran Main Branch,NJ
118,نجران الفرع الرئيسي,RES,2024," 7,942,164 ",87737,Najran Main Branch,NJ
119,نجران الفرع الرئيسي,TANKER,2024," 1,646,544 ",7,Najran Main Branch,NJ
120,يدمه,RES,2024," 12,332 ",141,Yadamah,NJ
121,يدمه,TANKER,2024," 85,479 ",5,Yadamah,NJ
